"","water_year","species","run","release_date","release_time","release_datetime","release_container_id","release_id","crew","morts","shed_tags","fish_released","comments","entered_by","qaqc_by","qaqc_comments"
"1","2024","Chinook Salmon","fall",2024-04-17,"9:13",2024-04-17 09:13:00,"RT-1","4/17/2024 RT-1","TA, CR",0,0,10,"water very turbid ","PH","EH",""
"2","2024","Chinook Salmon","fall",2024-04-17,"12:11",2024-04-17 12:11:00,"RT-2","4/17/2024 RT-2","TA, CY",0,0,10,"water very turbid ","PH","EH",""
"3","2024","Chinook Salmon","fall",2024-04-17,"15:13",2024-04-17 15:13:00,"RT-3","4/17/2024 RT-3","TA, JM, CP, KK",0,0,10,"water very turbid ","PH","EH",""
"4","2024","Chinook Salmon","fall",2024-04-17,"18:08",2024-04-17 18:08:00,"RT-4","4/17/2024 RT-4","TA, CR",0,0,10,"water very turbid ","PH","EH",""
"5","2024","Chinook Salmon","fall",2024-04-17,"21:21",2024-04-17 21:21:00,"RT-5","4/17/2024 RT-5","RM, AL, JS",0,0,10,"water very turbid ","PH","EH",""
"6","2024","Chinook Salmon","fall",2024-04-18,"0:12",2024-04-18 00:12:00,"RT-6","4/18/2024 RT-6","RM, AL, JS",0,0,10,"water very turbid ","PH","EH",""
"7","2024","Chinook Salmon","fall",2024-04-18,"3:18",2024-04-18 03:18:00,"RT-7","4/18/2024 RT-7","RM, AL, JS",0,0,10,"water very turbid ","PH","EH",""
"8","2024","Chinook Salmon","fall",2024-04-18,"6:17",2024-04-18 06:17:00,"RT-8","4/18/2024 RT-8","RM, AL, JS",0,0,10,"water very turbid ","PH","EH",""
"9","2024","Chinook Salmon","fall",2024-04-18,"9:10",2024-04-18 09:10:00,"RT-9","4/18/2024 RT-9","TA, NS",0,0,10,"","PH","EH",""
"10","2024","Chinook Salmon","fall",2024-04-18,"12:10",2024-04-18 12:10:00,"RT-10","4/18/2024 RT-10","TA, NS",0,0,10,"","PH","EH",""
"11","2024","Chinook Salmon","fall",2024-04-18,"15:17",2024-04-18 15:17:00,"RT-11","4/18/2024 RT-11","TA, NS",0,0,10,"","PH","EH",""
"12","2024","Chinook Salmon","fall",2024-04-18,"18:08",2024-04-18 18:08:00,"RT-12","4/18/2024 RT-12","TA, NS",0,0,10,"","PH","EH",""
"13","2024","Chinook Salmon","fall",2024-04-18,"21:16",2024-04-18 21:16:00,"RT-13","4/18/2024 RT-13","PH, JS, RM",0,0,10,"","EH","PH",""
"14","2024","Chinook Salmon","fall",2024-04-19,"0:08",2024-04-19 00:08:00,"RT-14","4/19/2024 RT-14","PH, JS, RM",0,0,10,"","EH","PH",""
"15","2024","Chinook Salmon","fall",2024-04-19,"3:16",2024-04-19 03:16:00,"RT-15","4/19/2024 RT-15","PH, JS, RM",0,0,10,"","EH","PH",""
"16","2024","Chinook Salmon","fall",2024-04-19,"6:15",2024-04-19 06:15:00,"RT-16","4/19/2024 RT-16","PH, JS, RM",0,0,10,"","EH","PH",""
"17","2024","Chinook Salmon","fall",2024-04-19,"9:20",2024-04-19 09:20:00,"RT-17","4/19/2024 RT-17","MD, TA",0,0,10,"Turbid","EH","PH",""
"18","2024","Chinook Salmon","fall",2024-04-19,"12:12",2024-04-19 12:12:00,"RT-18","4/19/2024 RT-18","MD, TA",0,0,10,"Turbid","PH","EH",""
"19","2024","Chinook Salmon","fall",2024-04-19,"15:06",2024-04-19 15:06:00,"RT-19","4/19/2024 RT-19","MD, TA",0,0,10,"Turbid","PH","EH",""
"20","2024","Chinook Salmon","fall",2024-04-19,"18:08",2024-04-19 18:08:00,"RT-20","4/19/2024 RT-20","MD, TA",0,0,10,"Turbid","PH","EH",""
"21","2024","Chinook Salmon","fall",2024-04-19,"21:12",2024-04-19 21:12:00,"RT-21","4/19/2024 RT-21","PC, PH, CA",0,0,10,"Turbid","PH","EH",""
"22","2024","Chinook Salmon","fall",2024-04-20,"0:19",2024-04-20 00:19:00,"RT-22","4/20/2024 RT-22","PC, PH, CA",0,0,10,"Turbid, when pulling release can out of river, saw a salmon swimming near the surface ","PH","EH",""
"23","2024","Chinook Salmon","fall",2024-04-20,"3:11",2024-04-20 03:11:00,"RT-23","4/20/2024 RT-23","PC, PH, CA",0,0,10,"Turbid ","PH","EH",""
"24","2024","Chinook Salmon","fall",2024-04-20,"6:14",2024-04-20 06:14:00,"RT-24","4/20/2024 RT-24","PC, PH, CA",0,0,10,"Turbid","PH","EH",""
"25","2024","Chinook Salmon","fall",2024-04-24,"9:20",2024-04-24 09:20:00,"RT-01","4/24/2024 RT-01","EH, NS",0,0,10,"Very turbid","EH","PH",""
"26","2024","Chinook Salmon","fall",2024-04-24,"12:15",2024-04-24 12:15:00,"RT-02","4/24/2024 RT-02","EH, NS",0,0,10,"Very turbid","EH","PH",""
"27","2024","Chinook Salmon","fall",2024-04-24,"15:12",2024-04-24 15:12:00,"RT-03","4/24/2024 RT-03","EH, NS",0,0,10,"Very turbid","EH","PH",""
"28","2024","Chinook Salmon","fall",2024-04-24,"18:07",2024-04-24 18:07:00,"RT-04","4/24/2024 RT-04","EH, NS",0,0,10,"Very turbid","EH","PH","corrected release time from 18:08 to 18:07"
"29","2024","Chinook Salmon","fall",2024-04-24,"21:11",2024-04-24 21:11:00,"RT-05","4/24/2024 RT-05","JH, MD",0,0,10,"Very turbid","EH","PH","added comment from datasheet"
"30","2024","Chinook Salmon","fall",2024-04-25,"0:10",2024-04-25 00:10:00,"RT-06","4/25/2024 RT-06","JH, MD",0,0,10,"","EH","PH",""
"31","2024","Chinook Salmon","fall",2024-04-25,"3:10",2024-04-25 03:10:00,"RT-07","4/25/2024 RT-07","JH, MD",0,0,10,"","EH","PH",""
"32","2024","Chinook Salmon","fall",2024-04-25,"6:10",2024-04-25 06:10:00,"RT-08","4/25/2024 RT-08","JH, MD",0,0,10,"","EH","PH",""
"33","2024","Chinook Salmon","fall",2024-04-25,"9:08",2024-04-25 09:08:00,"RT-09","4/25/2024 RT-09","EH, CR",0,0,10,"","EH","PH",""
"34","2024","Chinook Salmon","fall",2024-04-25,"12:08",2024-04-25 12:08:00,"RT-10","4/25/2024 RT-10","EH, CR",0,0,10,"","EH","PH",""
"35","2024","Chinook Salmon","fall",2024-04-25,"15:10",2024-04-25 15:10:00,"RT-11","4/25/2024 RT-11","EH, CR",0,0,10,"","EH","PH",""
"36","2024","Chinook Salmon","fall",2024-04-25,"18:02",2024-04-25 18:02:00,"RT-12","4/25/2024 RT-12","EH, CR",0,0,10,"","EH","PH",""
"37","2024","Chinook Salmon","fall",2024-04-25,"21:18",2024-04-25 21:18:00,"RT-13","4/25/2024 RT-13","PC, RM, MD",0,0,10,"Very Turbid","EH","PH",""
"38","2024","Chinook Salmon","fall",2024-04-26,"0:12",2024-04-26 00:12:00,"RT-14","4/26/2024 RT-14","PC, RM, MD",0,0,10,"Very Turbid","EH","PH",""
"39","2024","Chinook Salmon","fall",2024-04-26,"3:13",2024-04-26 03:13:00,"RT-15","4/26/2024 RT-15","PC, RM, MD",0,0,10,"","EH","PH",""
"40","2024","Chinook Salmon","fall",2024-04-26,"6:12",2024-04-26 06:12:00,"RT-16","4/26/2024 RT-16","PC, RM, MD",0,0,10,"","EH","PH",""
"41","2024","Chinook Salmon","fall",2024-04-26,"9:14",2024-04-26 09:14:00,"RT-17","4/26/2024 RT-17","JS, SB, AT",0,0,10,"Very Turbid","EH","PH",""
"42","2024","Chinook Salmon","fall",2024-04-26,"12:07",2024-04-26 12:07:00,"RT-18","4/26/2024 RT-18","JS, SB, AT",0,0,10,"Very Turbid","EH","PH",""
"43","2024","Chinook Salmon","fall",2024-04-26,"15:07",2024-04-26 15:07:00,"RT-19","4/26/2024 RT-19","JS, SB, AT",0,0,10,"Very Turbid","EH","PH",""
"44","2024","Chinook Salmon","fall",2024-04-26,"18:00",2024-04-26 18:00:00,"RT-20","4/26/2024 RT-20","JS, SB, AT",0,0,10,"Very Turbid","EH","PH",""
"45","2024","Chinook Salmon","fall",2024-04-26,"21:15",2024-04-26 21:15:00,"RT-21","4/26/2024 RT-21","AL, AC, NS",0,0,10,"","EH","PH"," "
"46","2024","Chinook Salmon","fall",2024-04-27,"0:18",2024-04-27 00:18:00,"RT-22","4/27/2024 RT-22","AL, AC, NS",0,0,10,"","EH","PH",""
"47","2024","Chinook Salmon","fall",2024-04-27,"3:12",2024-04-27 03:12:00,"RT-23","4/27/2024 RT-23","AL, AC, NS",0,0,10,"","EH","PH",""
"48","2024","Chinook Salmon","fall",2024-04-27,"6:13",2024-04-27 06:13:00,"RT-24","4/27/2024 RT-24","AL, AC, NS",0,0,10,"","EH","PH",""
