"","tag_id_hex","necropsy_date","necropsy_done_by","tagging_date","fork_length_mm","weight_gr","incision_irritation","suture_damage","tag_damage"
"1","1D84",2025-01-02,"EH, TA",2024-12-11,143,27.1,"None","No","Yes - embedded"
"2","2568",2025-01-02,"EH, TA",2024-12-11,145,36.1,"None","Yes - sutured caeca ","Yes - embedded"
"3","2724",2025-01-02,"EH, TA",2024-12-11,137,22.2,"None","Yes - sutured spleen?","No"
"4","2864",2025-01-02,"EH, TA",2024-12-11,160,43.6,"None","Yes - sutured caeca","Yes - embedded"
"5","2A02",2025-01-02,"EH, TA",2024-12-11,127,16.8,"Mild","No","Yes - embedded"
"6","9484",2025-01-02,"EH, TA",2024-12-11,137,22.2,"Mild","Yes - sutured caeca ","Yes - embedded"
"7","951B",2025-01-02,"EH, TA",2024-12-10,123,15.6,"None","No","Yes - embedded"
"8","9527",2025-01-02,"EH, TA",2024-12-10,153,34.4,"None","No","No"
"9","954F",2025-01-02,"EH, TA",2024-12-10,166,46.9,"None","No","Yes - embedded"
"10","957C",2025-01-02,"EH, TA",2024-12-10,164,42.8,"None","No","Yes - embedded"
"11","96DC",2025-01-02,"EH, TA",2024-12-10,154,34.8,"None","Yes - sutured caeca","No"
"12","985F",2025-01-02,"EH, TA",2024-12-10,163,48.7,"Mild","No","No"
"13","989B",2025-01-02,"EH, TA",2024-12-11,141,24.4,"Mild","No","Yes - embedded"
"14","9ED5",2025-01-02,"EH, TA",2024-12-10,127,19.9,"None","No","Yes - embedded"
"15","A0C9",2025-01-02,"EH, TA",2024-12-11,131,20.1,"None","No","No"
"16","A359",2025-01-02,"EH, TA",2024-12-10,165,42.9,"Mild","No","Yes - embedded"
"17","1D58",2025-02-06,"EH, TA",2025-01-15,170,54.9,"Mild","No","Yes - embedded"
"18","23A9",2025-02-06,"EH, TA",2025-01-14,189,80.1,"Mild","Yes - suture caeca","No"
"19","96A6",2025-02-06,"EH, TA",2025-01-15,200,98.2,"None","No","No"
"20","250A",2025-02-06,"EH, TA",2025-01-14,175,63.1,"Mild","No","Yes - embedded"
"21","1EDA",2025-02-06,"EH, TA",2025-01-14,129,21.1,"None","No","No"
"22","A361",2025-02-06,"EH, TA",2025-01-15,139,31.2,"None","No","No"
"23","A465",2025-02-06,"EH, TA",2025-01-15,150,28.1,"None","No","No"
