"","water_year","month","date","species","run","source_tank_id","surgeon","crew","vial_number","weight_gr","fork_length_mm","tag_id_hex","tag_activation_date","anesthetic_time_mmss","anesthetic_time_sec","surgery_time_mmss","surgery_time_sec","recovery_time_mmss","recovery_time_sec","comments","release_container_id","release_id","post_tagging_tank","entered_by","qaqc_by","qaqc_comments","block"
"1","2025","Dec",2024-12-10,"Chinook Salmon","late-fall","BT-1","NJ","NJ,AC,KB","D1",47.6,162,"957C",2024-12-05,"3:06",186,"1:31",91,"1:40",100,"Dummy Tag ",NA,"Block 2 NA","A","EH","SB","","Block 2"
"2","2025","Dec",2024-12-10,"Chinook Salmon","late-fall","BT-1","NJ","NJ, AC, KB","D2",46.6,164,"A359",2024-12-05,"2:32",152,"1:31",91,"3:26",206,"Dummy Tag ",NA,"Block 2 NA","A","EH","SB","","Block 2"
"3","2025","Dec",2024-12-10,"Chinook Salmon","late-fall","BT-1","NJ","NJ, AC, KB","D3",51.5,166,"954F",2024-12-05,"2:47",167,"1:33",93,"4:00",240,"Dummy Tag ",NA,"Block 2 NA","A","EH","SB","","Block 2"
"4","2025","Dec",2024-12-10,"Chinook Salmon","late-fall","BT-1","NJ","NJ, AC, KB","D4",19.7,124,"9ED5",2024-12-05,"2:28",148,"1:11",71,"3:31",211,"Dummy Tag ",NA,"Block 2 NA","A","EH","SB","","Block 2"
"5","2025","Dec",2024-12-10,"Chinook Salmon","late-fall","BT-2","AC","AC, NJ, KB","D5",17.6,124,"951B",2024-12-05,"3:14",194,"1:45",105,"1:55",115,"Dummy Tag ",NA,"Block 2 NA","A","EH","SB","","Block 2"
"6","2025","Dec",2024-12-10,"Chinook Salmon","late-fall","BT-2","AC","AC, NJ, KB","D6",37.2,152,"96DC",2024-12-05,"2:57",177,"1:39",99,"1:37",97,"Dummy Tag",NA,"Block 2 NA","A","EH","SB","","Block 2"
"7","2025","Dec",2024-12-10,"Chinook Salmon","late-fall","BT-2","AC","AC, NJ, KB","D7",41.4,156,"985F",2024-12-05,"2:53",173,"1:27",87,"2:00",120,"Dummy Tag",NA,"Block 2 NA","A","EH","SB","","Block 2"
"8","2025","Dec",2024-12-10,"Chinook Salmon","late-fall","BT-2","AC","AC, NJ, KB","D8",37.9,151,"9527",2024-12-05,"3:09",189,"1:53",113,"1:00",60,"Dummy Tag",NA,"Block 2 NA","A","EH","SB","","Block 2"
"9","2025","Dec",2024-12-11,"Chinook Salmon","late-fall","BT-3","NJ","AC, BP, NJ","D1",26.2,140,"989B",2024-12-05,"2:15",135,"1:18",78,"1:12",72,"Dummy tag",NA,"Block 2 NA","B","BP","SB","","Block 2"
"10","2025","Dec",2024-12-11,"Chinook Salmon","late-fall","BT-3","NJ","AC, BP, NJ","D2",24.5,134,"2724",2024-12-05,"2:56",176,"2:07",127,"1:41",101,"Dummy tag",NA,"Block 2 NA","B","BP","SB","","Block 2"
"11","2025","Dec",2024-12-11,"Chinook Salmon","late-fall","BT-3","NJ","AC, BP, NJ","D3",25,137,"9484",2024-12-05,"3:23",203,"1:35",95,"1:06",66,"Dummy tag",NA,"Block 2 NA","B","BP","SB","","Block 2"
"12","2025","Dec",2024-12-11,"Chinook Salmon","late-fall","BT-3","NJ","AC, BP, NJ","D4",32.5,140,"2568",2024-12-05,"3:11",191,"2:02",122,"1:06",66,"Dummy tag",NA,"Block 2 NA","B","BP","SB","","Block 2"
"13","2025","Dec",2024-12-11,"Chinook Salmon","late-fall","BT-4","AC","AC, BP, NJ","D5",29.3,141,"1D84",2024-12-05,"3:14",194,"1:49",109,"3:36",216,"Dummy tag",NA,"Block 2 NA","B","BP","SB","","Block 2"
"14","2025","Dec",2024-12-11,"Chinook Salmon","late-fall","BT-4","AC","AC, BP, NJ","D6",37.1,152,"2864",2024-12-05,"3:10",190,"1:31",91,"1:29",89,"Dummy Tag",NA,"Block 2 NA","B","BP","SB","","Block 2"
"15","2025","Dec",2024-12-11,"Chinook Salmon","late-fall","BT-4","AC","AC, BP, NJ","D7",17.4,125,"2A02",2024-12-05,"3:38",218,"1:59",119,"1:21",81,"Dummy tag",NA,"Block 2 NA","B","BP","SB","","Block 2"
"16","2025","Dec",2024-12-11,"Chinook Salmon","late-fall","BT-4","AC","AC, BP, NJ","D8",22,129,"A0C9",2024-12-05,"3:17",197,"1:45",105,"1:49",109,"Dummy tag",NA,"Block 2 NA","B","BP","SB","","Block 2"
"17","2025","Jan",2025-01-14,"Chinook Salmon","late-fall","BT-1","NJ","AC, KB","D1",46.7,170,"95B2",2025-01-10,"2:19",139,"1:39",99,"2:15",135,"Dummy Tag",NA,"Block 4 NA","A","CY","SB","","Block 4"
"18","2025","Jan",2025-01-14,"Chinook Salmon","late-fall","BT-1","NJ","AC, KB","D2",36.5,146,"2335",2025-01-10,"2:54",174,"1:22",82,"2:06",126,"Dummy Tag",NA,"Block 4 NA","A","CY","SB","","Block 4"
"19","2025","Jan",2025-01-14,"Chinook Salmon","late-fall","BT-1","NJ","AC, KB","D3",20.8,132,"9CAD",2025-01-10,"3:05",185,"1:46",106,"2:20",140,"Dummy Tag, Skinny",NA,"Block 4 NA","A","CY","SB","","Block 4"
"20","2025","Jan",2025-01-14,"Chinook Salmon","late-fall","BT-1","NJ","AC, KB","D4",35.8,150,"A23A",2025-01-10,"3:27",207,"1:38",98,"3:10",190,"Dummy Tag",NA,"Block 4 NA","A","CY","SB","","Block 4"
"21","2025","Jan",2025-01-14,"Chinook Salmon","late-fall","BT-2","AC","NJ, KB","D5",53.5,163,"A284",2025-01-10,"2:50",170,"1:39",99,"4:50",290,"Dummy Tag",NA,"Block 4 NA","A","CY","SB","","Block 4"
