"","water_year","month","date","species","run","source_tank_id","surgeon","crew","vial_number","weight_gr","fork_length_mm","tag_id_hex","tag_activation_date","anesthetic_time_mmss","anesthetic_time_sec","surgery_time_mmss","surgery_time_sec","recovery_time_mmss","recovery_time_sec","comments","release_container_id","release_id","post_tagging_tank","entered_by","qaqc_by","qaqc_comments"
"1","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","1",6.9,81,"6B39",2025-04-04,"2:11",131,"3:20",200,"1:00",60,"","RT-1","2025-04-09 RT-1",NA,"PH","SB",""
"2","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","2",6.9,83,"6A7B",2025-04-04,"2:25",145,"3:52",232,"1:00",60,"","RT-1","2025-04-09 RT-1",NA,"PH","SB",""
"3","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","3",6.7,83,"6725",2025-04-04,"2:13",133,"3:34",214,"1:50",110,"","RT-1","2025-04-09 RT-1",NA,"PH","SB",""
"4","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","4",7.2,84,"78EA",2025-04-04,"3:25",205,"2:56",176,"1:22",82,"","RT-1","2025-04-09 RT-1",NA,"PH","SB",""
"5","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","5",7.8,85,"6BED",2025-04-04,"2:34",154,"3:37",217,"1:00",60,"","RT-1","2025-04-09 RT-1",NA,"PH","SB",""
"6","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","6",7.2,83,"6A7A",2025-04-04,"2:12",132,"2:55",175,"1:07",67,"","RT-1","2025-04-09 RT-1",NA,"PH","SB",""
"7","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","7",5.2,75,"6D42",2025-04-04,"2:32",152,"2:45",165,"2:04",124,"","RT-1","2025-04-09 RT-1",NA,"PH","SB",""
"8","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","8",5.3,78,"6BD6",2025-04-04,"3:14",194,"2:53",173,"1:35",95,"suture was a little tight ","RT-1","2025-04-09 RT-1",NA,"PH","SB",""
"9","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","9",6.7,82,"6ED9",2025-04-04,"2:06",126,"2:40",160,"1:45",105,"","RT-1","2025-04-09 RT-1",NA,"PH","SB",""
"10","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","10",7.1,83,"80D5",2025-04-04,"2:56",176,"3:05",185,"1:45",105,"","RT-1","2025-04-09 RT-1",NA,"PH","SB",""
"11","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","11",8.2,81,"7D55",2025-04-04,"2:02",122,"3:22",202,"2:00",120,"","RT-2","2025-04-09 RT-2",NA,"PH","SB",""
"12","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","12",5.7,79,"845A",2025-04-04,"3:07",187,"2:48",168,"1:13",73,"","RT-2","2025-04-09 RT-2",NA,"PH","SB",""
"13","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","13",7.2,82,"71A2",2025-04-04,"2:54",174,"3:32",212,"2:35",155,"","RT-2","2025-04-09 RT-2",NA,"PH","SB",""
"14","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","14",5.4,77,"7172",2025-04-04,"2:24",144,"3:38",218,"2:05",125,"","RT-2","2025-04-09 RT-2",NA,"PH","SB",""
"15","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","15",5.4,82,"7155",2025-04-04,"2:44",164,"2:33",153,"1:00",60,"","RT-2","2025-04-09 RT-2",NA,"PH","SB",""
"16","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","16",6.9,82,"6853",2025-04-04,"2:17",137,"3:20",200,"1:50",110,"","RT-2","2025-04-09 RT-2",NA,"PH","SB",""
"17","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","17",5.9,78,"6975",2025-04-04,"2:35",155,"3:08",188,"1:45",105,"","RT-2","2025-04-09 RT-2",NA,"PH","SB",""
"18","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","18",5.1,80,"7689",2025-04-04,"2:28",148,"2:51",171,"1:15",75,"","RT-2","2025-04-09 RT-2",NA,"PH","SB",""
"19","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","19",5.7,80,"8D0A",2025-04-04,"2:30",150,"2:25",145,"4:03",243,"","RT-2","2025-04-09 RT-2",NA,"PH","SB",""
"20","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","20",5.4,76,"682B",2025-04-04,"3:17",197,"2:47",167,"2:50",170,"","RT-2","2025-04-09 RT-2",NA,"PH","SB",""
"21","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","21",NA,80,"6D34",2025-04-04,"2:03",123,"3:57",237,"2:56",176,"boat wake-no weight taken ","RT-3","2025-04-09 RT-3",NA,"PH","SB",""
"22","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","22",7.1,83,"7545",2025-04-04,"2:44",164,"2:54",174,"3:29",209,"","RT-3","2025-04-09 RT-3",NA,"PH","SB",""
"23","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","23",6.3,84,"6A45",2025-04-04,"2:24",144,"2:38",158,"3:14",194,"","RT-3","2025-04-09 RT-3",NA,"PH","SB",""
"24","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","24",6.2,80,"6D64",2025-04-04,"2:40",160,"4:02",242,"1:28",88,"","RT-3","2025-04-09 RT-3",NA,"PH","SB",""
"25","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","25",5.1,76,"6D57",2025-04-04,"1:43",103,"3:04",184,"1:00",60,"","RT-3","2025-04-09 RT-3",NA,"PH","SB",""
"26","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","26",4.6,78,"7764",2025-04-04,"2:12",132,"3:33",213,"2:56",176,"","RT-3","2025-04-09 RT-3",NA,"PH","SB",""
"27","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","27",5.5,79,"8AA6",2025-04-04,"3:18",198,"2:34",154,"2:30",150,"","RT-3","2025-04-09 RT-3",NA,"PH","SB",""
"28","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","28",6.6,85,"6D7B",2025-04-04,"1:53",113,"3:53",233,"2:41",161,"","RT-3","2025-04-09 RT-3",NA,"PH","SB",""
"29","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","29",4.8,76,"8C56",2025-04-04,"3:14",194,"2:10",130,"2:50",170,"","RT-3","2025-04-09 RT-3",NA,"PH","SB",""
"30","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR, NJ","30",5.4,80,"8556",2025-04-04,"3:22",202,"3:30",210,"2:24",144,"","RT-3","2025-04-09 RT-3",NA,"PH","SB",""
"31","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR","31",4.8,76,"6D5D",2025-04-04,"2:14",134,"3:26",206,"1:00",60,"","RT-4","2025-04-09 RT-4",NA,"PH","SB",""
"32","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR","32",5,79,"6DA6",2025-04-04,"2:23",143,"2:01",121,"3:30",210,"","RT-4","2025-04-09 RT-4",NA,"PH","SB",""
"33","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR","33",4.9,76,"6B46",2025-04-04,"2:17",137,"2:15",135,"2:30",150,"","RT-4","2025-04-09 RT-4",NA,"PH","SB",""
"34","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR","34",5,75,"68AE",2025-04-04,"2:26",146,"2:38",158,"3:00",180,"","RT-4","2025-04-09 RT-4",NA,"PH","SB",""
"35","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR","35",8.2,90,"8AEA",2025-04-04,"2:02",122,"2:40",160,"1:01",61,"","RT-4","2025-04-09 RT-4",NA,"PH","SB",""
"36","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR","36",5.9,82,"6D44",2025-04-04,"2:17",137,"2:46",166,"2:45",165,"","RT-4","2025-04-09 RT-4",NA,"PH","SB",""
"37","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR","37",5.3,79,"68AF",2025-04-04,"1:44",104,"2:30",150,"1:14",74,"","RT-4","2025-04-09 RT-4",NA,"PH","SB",""
"38","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR","38",7.7,85,"8B56",2025-04-04,"1:48",108,"2:33",153,"1:00",60,"","RT-4","2025-04-09 RT-4",NA,"PH","SB",""
"39","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR","39",5.4,77,"6DAD",2025-04-04,"2:45",165,"2:23",143,"1:39",99,"","RT-4","2025-04-09 RT-4",NA,"PH","SB",""
"40","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","EH","AC, CR","40",5,76,"8AB4",2025-04-04,"2:21",141,"2:37",157,"1:42",102,"","RT-4","2025-04-09 RT-4",NA,"PH","SB",""
"41","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","AC","EH, CR","41",4.7,74,"6DA3",2025-04-04,"2:02",122,"1:57",117,"1:06",66,"","RT-5","2025-04-09 RT-5",NA,"PH","SB",""
"42","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","AC","EH, CR","42",6,80,"6D31",2025-04-04,"1:49",109,"2:01",121,"1:13",73,"","RT-5","2025-04-09 RT-5",NA,"PH","SB",""
"43","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","AC","EH, CR","43",4.6,79,"6D96",2025-04-04,"2:30",150,"2:06",126,"1:18",78,"","RT-5","2025-04-09 RT-5",NA,"PH","SB",""
"44","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","AC","EH, CR","44",6.5,85,"69AD",2025-04-04,"2:18",138,"1:42",102,"1:10",70,"","RT-5","2025-04-09 RT-5",NA,"PH","SB",""
"45","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","AC","EH, CR","45",5.2,77,"6BAB",2025-04-04,"2:35",155,"1:34",94,"1:37",97,"","RT-5","2025-04-09 RT-5",NA,"PH","SB",""
"46","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","AC","EH, CR","46",5.1,76,"8BD4",2025-04-04,"2:17",137,"2:00",120,"1:24",84,"","RT-5","2025-04-09 RT-5",NA,"PH","SB",""
"47","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","AC","EH, CR","47",7.1,86,"856A",2025-04-04,"2:14",134,"1:36",96,"1:27",87,"","RT-5","2025-04-09 RT-5",NA,"PH","SB",""
"48","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","AC","EH, CR","48",4.7,75,"6D39",2025-04-04,"2:00",120,"2:11",131,"1:18",78,"","RT-5","2025-04-09 RT-5",NA,"PH","SB",""
"49","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","AC","EH, CR","49",6.9,85,"6ABB",2025-04-04,"2:11",131,"2:30",150,"1:00",60,"","RT-5","2025-04-09 RT-5",NA,"PH","SB",""
"50","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","AC","EH, CR","50",6.1,82,"6D67",2025-04-04,"2:43",163,"1:36",96,"1:15",75,"","RT-5","2025-04-09 RT-5",NA,"PH","SB",""
"51","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","AC","EH, CR","51",6.4,83,"6A2B",2025-04-04,"2:14",134,"1:36",96,"2:03",123,"","RT-6","2025-04-09 RT-6",NA,"PH","SB",""
"52","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","AC","EH, CR","52",5.3,79,"855A",2025-04-04,"2:30",150,"1:32",92,"3:30",210,"","RT-6","2025-04-09 RT-6",NA,"PH","SB",""
"53","2025","Apr",2025-04-08,"Chinook Salmon","fall","BT-1","AC","EH, CR","53",6.3,83,"6C57",2025-04-04,"2:28",148,"1:39",99,"4:30",270,"","RT-6","2025-04-09 RT-6",NA,"PH","SB",""
