"","agency","location_id","location","water_year","datetime","value","value_type","units"
"1","CDEC","FPT","Sacramento River at Freeport","2024",2023-11-30 23:00:00,13400,"discharge","cfs"
"2","CDEC","FPT","Sacramento River at Freeport","2024",2023-11-30 23:15:00,13500,"discharge","cfs"
"3","CDEC","FPT","Sacramento River at Freeport","2024",2023-11-30 23:30:00,13700,"discharge","cfs"
"4","CDEC","FPT","Sacramento River at Freeport","2024",2023-11-30 23:45:00,13800,"discharge","cfs"
"5","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01,14000,"discharge","cfs"
"6","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 00:15:00,14100,"discharge","cfs"
"7","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 00:30:00,14000,"discharge","cfs"
"8","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 00:45:00,14000,"discharge","cfs"
"9","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 01:00:00,14200,"discharge","cfs"
"10","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 01:15:00,14100,"discharge","cfs"
"11","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 01:30:00,14200,"discharge","cfs"
"12","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 01:45:00,14200,"discharge","cfs"
"13","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 02:00:00,14400,"discharge","cfs"
"14","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 02:15:00,14200,"discharge","cfs"
"15","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 02:30:00,14300,"discharge","cfs"
"16","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 02:45:00,14100,"discharge","cfs"
"17","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 03:00:00,14100,"discharge","cfs"
"18","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 03:15:00,13800,"discharge","cfs"
"19","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 03:30:00,13800,"discharge","cfs"
"20","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 03:45:00,13300,"discharge","cfs"
"21","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 04:00:00,13000,"discharge","cfs"
"22","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 04:15:00,12400,"discharge","cfs"
"23","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 04:30:00,11900,"discharge","cfs"
"24","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 04:45:00,11300,"discharge","cfs"
"25","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 05:00:00,10700,"discharge","cfs"
"26","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 05:15:00,9740,"discharge","cfs"
"27","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 05:30:00,9010,"discharge","cfs"
"28","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 05:45:00,8230,"discharge","cfs"
"29","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 06:00:00,7450,"discharge","cfs"
"30","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 06:15:00,6830,"discharge","cfs"
"31","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 06:30:00,6280,"discharge","cfs"
"32","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 06:45:00,5900,"discharge","cfs"
"33","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 07:00:00,5220,"discharge","cfs"
"34","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 07:15:00,4970,"discharge","cfs"
"35","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 07:30:00,4820,"discharge","cfs"
"36","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 07:45:00,4580,"discharge","cfs"
"37","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 08:00:00,4160,"discharge","cfs"
"38","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 08:15:00,4250,"discharge","cfs"
"39","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 08:30:00,4210,"discharge","cfs"
"40","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 08:45:00,4380,"discharge","cfs"
"41","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 09:00:00,4700,"discharge","cfs"
"42","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 09:15:00,5170,"discharge","cfs"
"43","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 09:30:00,5890,"discharge","cfs"
"44","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 09:45:00,6650,"discharge","cfs"
"45","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 10:00:00,7500,"discharge","cfs"
"46","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 10:15:00,8280,"discharge","cfs"
"47","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 10:30:00,9030,"discharge","cfs"
"48","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 10:45:00,9660,"discharge","cfs"
"49","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 11:00:00,10200,"discharge","cfs"
"50","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 11:15:00,10600,"discharge","cfs"
"51","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 11:30:00,10800,"discharge","cfs"
"52","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 11:45:00,10800,"discharge","cfs"
"53","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 12:00:00,11100,"discharge","cfs"
"54","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 12:15:00,11100,"discharge","cfs"
"55","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 12:30:00,11100,"discharge","cfs"
"56","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 12:45:00,11100,"discharge","cfs"
"57","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 13:00:00,11100,"discharge","cfs"
"58","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 13:15:00,11100,"discharge","cfs"
"59","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 13:30:00,10900,"discharge","cfs"
"60","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 13:45:00,10700,"discharge","cfs"
"61","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 14:00:00,10400,"discharge","cfs"
"62","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 14:15:00,10000,"discharge","cfs"
"63","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 14:30:00,9310,"discharge","cfs"
"64","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 14:45:00,8760,"discharge","cfs"
"65","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 15:00:00,8210,"discharge","cfs"
"66","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 15:15:00,7690,"discharge","cfs"
"67","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 15:30:00,6790,"discharge","cfs"
"68","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 15:45:00,5500,"discharge","cfs"
"69","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 16:00:00,4580,"discharge","cfs"
"70","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 16:15:00,3820,"discharge","cfs"
"71","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 16:30:00,3080,"discharge","cfs"
"72","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 16:45:00,2710,"discharge","cfs"
"73","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 17:00:00,2670,"discharge","cfs"
"74","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 17:15:00,2290,"discharge","cfs"
"75","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 17:30:00,2180,"discharge","cfs"
"76","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 17:45:00,2190,"discharge","cfs"
"77","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 18:00:00,2080,"discharge","cfs"
"78","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 18:15:00,2410,"discharge","cfs"
"79","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 18:30:00,3140,"discharge","cfs"
"80","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 18:45:00,3670,"discharge","cfs"
"81","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 19:00:00,4650,"discharge","cfs"
"82","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 19:15:00,5920,"discharge","cfs"
"83","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 19:30:00,6940,"discharge","cfs"
"84","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 19:45:00,8090,"discharge","cfs"
"85","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 20:00:00,8930,"discharge","cfs"
"86","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 20:15:00,9820,"discharge","cfs"
"87","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 20:30:00,10600,"discharge","cfs"
"88","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 20:45:00,10900,"discharge","cfs"
"89","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 21:00:00,11200,"discharge","cfs"
"90","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 21:15:00,11500,"discharge","cfs"
"91","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 21:30:00,11600,"discharge","cfs"
"92","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 21:45:00,11800,"discharge","cfs"
"93","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 22:00:00,12100,"discharge","cfs"
"94","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-01 22:15:00,12500,"discharge","cfs"
