"","agency","location_id","location","water_year","datetime","value","value_type","units"
"1","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-11-30 23:00:00,-884,"discharge","cfs"
"2","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-11-30 23:15:00,-877,"discharge","cfs"
"3","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-11-30 23:30:00,-905,"discharge","cfs"
"4","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-11-30 23:45:00,-790,"discharge","cfs"
"5","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01,-476,"discharge","cfs"
"6","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 00:15:00,22,"discharge","cfs"
"7","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 00:30:00,670,"discharge","cfs"
"8","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 00:45:00,1520,"discharge","cfs"
"9","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 01:00:00,2280,"discharge","cfs"
"10","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 01:15:00,3130,"discharge","cfs"
"11","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 01:30:00,3940,"discharge","cfs"
"12","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 01:45:00,4900,"discharge","cfs"
"13","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 02:00:00,5510,"discharge","cfs"
"14","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 02:15:00,5910,"discharge","cfs"
"15","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 02:30:00,6180,"discharge","cfs"
"16","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 02:45:00,6550,"discharge","cfs"
"17","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 03:00:00,6720,"discharge","cfs"
"18","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 03:15:00,7010,"discharge","cfs"
"19","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 03:30:00,7300,"discharge","cfs"
"20","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 03:45:00,7560,"discharge","cfs"
"21","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 04:00:00,7720,"discharge","cfs"
"22","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 04:15:00,7850,"discharge","cfs"
"23","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 04:30:00,7860,"discharge","cfs"
"24","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 04:45:00,7950,"discharge","cfs"
"25","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 05:00:00,8000,"discharge","cfs"
"26","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 05:15:00,7870,"discharge","cfs"
"27","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 05:30:00,7860,"discharge","cfs"
"28","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 05:45:00,7680,"discharge","cfs"
"29","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 06:00:00,7690,"discharge","cfs"
"30","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 06:15:00,7380,"discharge","cfs"
"31","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 06:30:00,7120,"discharge","cfs"
"32","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 06:45:00,6510,"discharge","cfs"
"33","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 07:00:00,5790,"discharge","cfs"
"34","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 07:15:00,4900,"discharge","cfs"
"35","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 07:30:00,3840,"discharge","cfs"
"36","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 07:45:00,2910,"discharge","cfs"
"37","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 08:00:00,1730,"discharge","cfs"
"38","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 08:15:00,645,"discharge","cfs"
"39","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 08:30:00,-499,"discharge","cfs"
"40","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 08:45:00,-1780,"discharge","cfs"
"41","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 09:00:00,-2940,"discharge","cfs"
"42","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 09:15:00,-3450,"discharge","cfs"
"43","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 09:30:00,-3860,"discharge","cfs"
"44","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 09:45:00,-4220,"discharge","cfs"
"45","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 10:00:00,-4610,"discharge","cfs"
"46","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 10:15:00,-4840,"discharge","cfs"
"47","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 10:30:00,-4840,"discharge","cfs"
"48","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 10:45:00,-4850,"discharge","cfs"
"49","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 11:00:00,-4750,"discharge","cfs"
"50","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 11:15:00,-4680,"discharge","cfs"
"51","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 11:30:00,-4620,"discharge","cfs"
"52","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 11:45:00,-4400,"discharge","cfs"
"53","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 12:00:00,-4000,"discharge","cfs"
"54","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 12:15:00,-3530,"discharge","cfs"
"55","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 12:30:00,-2760,"discharge","cfs"
"56","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 12:45:00,-1810,"discharge","cfs"
"57","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 13:00:00,-703,"discharge","cfs"
"58","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 13:15:00,1040,"discharge","cfs"
"59","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 13:30:00,2820,"discharge","cfs"
"60","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 13:45:00,4130,"discharge","cfs"
"61","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 14:00:00,4990,"discharge","cfs"
"62","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 14:15:00,5810,"discharge","cfs"
"63","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 14:30:00,6410,"discharge","cfs"
"64","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 14:45:00,6770,"discharge","cfs"
"65","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 15:00:00,7290,"discharge","cfs"
"66","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 15:15:00,7690,"discharge","cfs"
"67","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 15:30:00,8180,"discharge","cfs"
"68","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 15:45:00,8350,"discharge","cfs"
"69","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 16:00:00,8520,"discharge","cfs"
"70","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 16:15:00,8560,"discharge","cfs"
"71","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 16:30:00,8580,"discharge","cfs"
"72","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 16:45:00,8650,"discharge","cfs"
"73","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 17:00:00,8680,"discharge","cfs"
"74","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 17:15:00,8720,"discharge","cfs"
"75","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 17:30:00,8810,"discharge","cfs"
"76","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 17:45:00,8860,"discharge","cfs"
"77","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 18:00:00,8920,"discharge","cfs"
"78","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 18:15:00,8840,"discharge","cfs"
"79","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 18:30:00,9000,"discharge","cfs"
"80","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 18:45:00,9040,"discharge","cfs"
"81","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 19:00:00,9090,"discharge","cfs"
"82","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 19:15:00,9040,"discharge","cfs"
"83","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 19:30:00,8940,"discharge","cfs"
"84","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 19:45:00,8960,"discharge","cfs"
"85","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 20:00:00,8660,"discharge","cfs"
"86","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 20:15:00,8670,"discharge","cfs"
"87","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 20:30:00,8400,"discharge","cfs"
"88","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 20:45:00,8100,"discharge","cfs"
"89","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 21:00:00,7450,"discharge","cfs"
"90","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 21:15:00,6780,"discharge","cfs"
"91","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 21:30:00,5880,"discharge","cfs"
"92","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 21:45:00,5070,"discharge","cfs"
"93","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 22:00:00,4500,"discharge","cfs"
"94","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 22:15:00,3870,"discharge","cfs"
"95","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 22:30:00,2970,"discharge","cfs"
"96","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 22:45:00,1990,"discharge","cfs"
"97","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 23:00:00,1110,"discharge","cfs"
"98","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 23:15:00,471,"discharge","cfs"
"99","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 23:30:00,25,"discharge","cfs"
"100","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 23:45:00,-369,"discharge","cfs"
"101","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02,-654,"discharge","cfs"
