"","water_year","block","rel_id","release_date","release_time","lunar_phase","fish_released","discharge","temperature","turbidity","velocity","month"
"1","2024","Block 1","RT-1",2023-12-06,"9:09","Waning",10,4810,11.6,4.5,0.41,"Dec"
"2","2024","Block 1","RT-10",2023-12-07,"12:12","Waning",10,3390,11.6,3.9,0.27,"Dec"
"3","2024","Block 1","RT-11",2023-12-07,"15:10","Waning",10,11500,11.6,5.3,0.93,"Dec"
"4","2024","Block 1","RT-12",2023-12-07,"18:05","Waning",10,14000,11.5,5.9,1.16,"Dec"
"5","2024","Block 1","RT-13",2023-12-07,"21:35","Waning",10,13200,11.3,5.8,1.13,"Dec"
"6","2024","Block 1","RT-14",2023-12-08,"0:12","Waning",10,8820,11.3,6.4,0.74,"Dec"
"7","2024","Block 1","RT-15",2023-12-08,"3:09","Waning",10,11000,11.2,5.5,0.92,"Dec"
"8","2024","Block 1","RT-16",2023-12-08,"6:09","Waning",10,13100,11.2,6.6,1.13,"Dec"
"9","2024","Block 1","RT-17",2023-12-08,"9:40","Waning",10,8330,11.2,6.3,0.71,"Dec"
"10","2024","Block 1","RT-18",2023-12-08,"12:17","Waning",10,4010,11.3,5.7,0.32,"Dec"
"11","2024","Block 1","RT-19",2023-12-08,"15:15","Waning",10,11000,11.4,5.8,0.89,"Dec"
"12","2024","Block 1","RT-2",2023-12-06,"12:05","Waning",10,2940,11.7,4.3,0.23,"Dec"
"13","2024","Block 1","RT-20",2023-12-08,"18:11","Waning",10,13700,11.2,6.1,1.14,"Dec"
"14","2024","Block 1","RT-21",2023-12-08,"21:26","Waning",10,13900,11,7.5,1.21,"Dec"
"15","2024","Block 1","RT-22",2023-12-09,"0:16","New",10,8850,11,5.6,0.76,"Dec"
"16","2024","Block 1","RT-23",2023-12-09,"3:14","New",10,8890,10.9,6.1,0.75,"Dec"
"17","2024","Block 1","RT-24",2023-12-09,"6:10","New",10,12500,10.8,5.8,1.07,"Dec"
"18","2024","Block 1","RT-3",2023-12-06,"15:01","Waning",10,11900,11.7,5.1,0.96,"Dec"
"19","2024","Block 1","RT-4",2023-12-06,"17:59","Waning",10,13600,11.7,6.3,1.14,"Dec"
"20","2024","Block 1","RT-5",2023-12-06,"21:06","Waning",10,11700,11.6,6.1,0.99,"Dec"
"21","2024","Block 1","RT-6",2023-12-07,"0:06","Waning",10,8820,11.6,4.8,0.73,"Dec"
"22","2024","Block 1","RT-7",2023-12-07,"3:05","Waning",10,12300,11.6,5.6,1.03,"Dec"
"23","2024","Block 1","RT-9",2023-12-07,"9:10","Waning",10,8360,11.5,4.5,0.71,"Dec"
"24","2024","Block 2","RT-1",2023-12-13,"9:15","New",10,11900,9.6,5.5,0.99,"Dec"
"25","2024","Block 2","RT-10",2023-12-14,"12:04","New",10,10600,9.7,6.3,0.88,"Dec"
"26","2024","Block 2","RT-11",2023-12-14,"15:04","New",10,1900,9.7,5.1,0.15,"Dec"
"27","2024","Block 2","RT-12",2023-12-14,"18:02","New",10,9820,9.7,6.2,0.76,"Dec"
"28","2024","Block 2","RT-13",2023-12-14,"21:16","New",10,14100,9.5,6.7,1.13,"Dec"
"29","2024","Block 2","RT-14",2023-12-15,"0:19","New",10,14900,9.4,8.3,1.25,"Dec"
"30","2024","Block 2","RT-15",2023-12-15,"3:07","New",10,13300,9.4,7.3,1.15,"Dec"
"31","2024","Block 2","RT-16",2023-12-15,"6:10","New",10,6910,9.4,6.4,0.58,"Dec"
"32","2024","Block 2","RT-17",2023-12-15,"9:04","New",10,9760,9.4,6.4,0.8,"Dec"
"33","2024","Block 2","RT-18",2023-12-15,"12:04","New",10,11700,9.6,6.9,0.98,"Dec"
"34","2024","Block 2","RT-19",2023-12-15,"15:03","New",10,3100,9.7,5.4,0.25,"Dec"
"35","2024","Block 2","RT-2",2023-12-13,"12:06","New",10,8430,9.8,5.5,0.7,"Dec"
"36","2024","Block 2","RT-20",2023-12-15,"18:01","New",10,5350,9.6,5.4,0.41,"Dec"
"37","2024","Block 2","RT-21",2023-12-15,"21:20","New",10,13300,9.5,6.6,1.06,"Dec"
"38","2024","Block 2","RT-23",2023-12-16,"3:03","Waxing",10,14700,9.3,8.2,1.27,"Dec"
"39","2024","Block 2","RT-24",2023-12-16,"6:11","Waxing",10,8050,9.3,7,0.67,"Dec"
